id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
0;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Andrew Gibbs;masculino;PIX
1;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Eli Mcwilliams;masculino;Dinheiro
2;São Paulo;Ana Oliveira;Smartwatch;Paige Alexander;feminino;cartão de Credito
3;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Michael Mealy;masculino;PIX
4;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Timothy Poston;masculino;cartão de Credito
5;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Brian Webb;masculino;Dinheiro
6;Florianopolis;Tiago Lima;Smartwatch;Chris Brueckman;masculino;PIX
7;São Paulo;Ana Oliveira;Smartwatch;Brenda Williams;feminino;cartão de Credito
8;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Constance Johnson;feminino;Dinheiro
9;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Frank Manley;masculino;Boleto
10;Florianopolis;Tiago Lima;Smartwatch;Shelia Little;feminino;cartão de Credito
11;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;David Westrom;masculino;cartão de Credito
12;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Kelly Rowden;feminino;Boleto
13;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Dean Garcia;masculino;cartão de Credito
14;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Kenneth Maxim;masculino;Boleto
15;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Edward Sterback;masculino;Boleto
16;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Frances Hostetler;feminino;Boleto
17;Belo Horizonte;Carlos Silva;Smartwatch;Brian Williams;masculino;Dinheiro
18;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Susan Tyler;feminino;PIX
19;São Paulo;Lucas Pereira;Smartwatch;Janet Lewis;feminino;Boleto
20;Rio de Jameiro;Juliana Almeida;Smartwatch;Samuel Baines;masculino;PIX
21;Rio de Jameiro;Juliana Almeida;Notebook Dell Inspiriom;Charles Robinson;masculino;PIX
22;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Gene Braziel;masculino;PIX
23;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Douglas Simmons;masculino;PIX
24;Rio de Jameiro;Juliana Almeida;Tablet Apple Ipad;Carl Pellowski;masculino;Dinheiro
25;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Kathleen Honeycutt;feminino;Boleto
26;Florianopolis;Gabriela Santos;Notebook Dell Inspiriom;Alia Lewis;feminino;PIX
27;Florianopolis;Tiago Lima;Tablet Apple Ipad;Monica Crockett;feminino;PIX
28;Rio de Jameiro;Juliana Almeida;Smartphone Samsung Galaxy;Brooke Cervantes;feminino;Dinheiro
29;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Ginger Jameson;feminino;PIX
30;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Cynthia Miller;feminino;Boleto
31;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Phillip Faulkner;masculino;Boleto
32;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Mae Fitzpatrick;feminino;PIX
33;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Robert Smith;masculino;PIX
34;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Betty Goldberg;feminino;Boleto
35;São Paulo;Ana Oliveira;Smartwatch;Jo Mcmichael;feminino;Boleto
36;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Danielle Walkup;feminino;PIX
37;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Mercedes Magana;feminino;cartão de Credito
38;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Joseph Stevens;masculino;cartão de Credito
39;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Ruth Ferko;feminino;Dinheiro
40;São Paulo;Lucas Pereira;Tablet Apple Ipad;Francis Brown;masculino;PIX
41;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Wayne Sonderegger;masculino;PIX
42;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Dean Helman;masculino;Boleto
43;Florianopolis;Gabriela Santos;Notebook Dell Inspiriom;Stacey Ropp;feminino;cartão de Credito
44;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Thomas Collins;masculino;PIX
45;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Edna Woods;feminino;Dinheiro
46;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Clinton Benfield;masculino;Boleto
47;Rio de Jameiro;Juliana Almeida;Tablet Apple Ipad;Glenn Gwynn;masculino;PIX
48;Florianopolis;Tiago Lima;Notebook Dell Inspiriom;Glenn Lopez;masculino;cartão de Credito
49;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Vernon Fuchs;masculino;cartão de Credito
50;Rio de Jameiro;Juliana Almeida;Smartwatch;Angela Camara;feminino;Dinheiro
51;Belo Horizonte;Carlos Silva;Smartwatch;Thomas Berlinger;masculino;PIX
52;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiriom;Dawn Cornett;feminino;Dinheiro
53;Porto Alegre;Roberto Ferreira;Smartwatch;Donald Tipps;masculino;cartão de Credito
54;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Ronald Brannon;masculino;cartão de Credito
55;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Chester Smith;masculino;cartão de Credito
56;Porto Alegre;Mariana Gomes;Smartwatch;Dana Bradford;feminino;Dinheiro
57;Belo Horizonte;Carlos Silva;Smartwatch;Jonathan Bolen;masculino;Dinheiro
58;São Paulo;Ana Oliveira;Tablet Apple Ipad;Eileen Langley;feminino;cartão de Credito
59;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Gregory Campbell;masculino;cartão de Credito
60;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Tammy Wittwer;feminino;Boleto
61;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Iris Richner;feminino;Dinheiro
62;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Daryl Eaves;masculino;cartão de Credito
